userid,username
221664,virgilabloh
1310323,nicekicks
1906837,michaelkors
3542767,suprafootwear
4892835,ghbass
5218673,toms
5332352,jumpman23
5561853,timberland
5858873,underarmour
6716197,converse
7192598,zappos
7419994,dcshoes
7950057,dannerboots
9183224,minnetonka
9187952,adidasoriginals
9223184,menshealthstyle
9488632,tiffanybeers
10145706,puma
10359568,nisoloshoes
10537060,thefryecompany
11480298,stevemadden
11677419,heskicks
13460080,nike
13806065,macys
15923784,colehaan
16275349,teva
16389033,sneakernews
18919774,vans
19178641,kicksonfire
19719473,hypebeast
19846225,sorelfootwear
20269764,adidas
20277715,lacoste
20814160,sperry
21061879,solecollector
21109548,kith
21283002,keds
21952327,shopmiashoes
22198190,sophiawebster
22477304,keen
22630023,ugg
23589827,davidjonesstore
25048800,seychellesshoes
25049032,bcfootwear
26002575,kohls
26199095,sneakercon
26405223,saucony
27680368,uggsince1974
27816452,wolverine
28449504,catfootwear
28462166,merrell
29180689,adidasbasketball
33461840,mizmooz
43300742,footwearnews
46764083,footlocker
50398141,famousfootwear
50861731,korkease
51209330,bornfootwear
52942471,ecco
143939018,patagonia
145887851,batashoemuseum
175637134,sneakerfreakermag
175694806,adidasy3
176273194,dsw
181362139,farylrobin
187619120,louisvuitton
189266984,kickfeed
189710551,shoesofprey
190611159,aldo_shoes
191358180,straightshoeter
199722566,crocs
200820982,weartesters
201242511,sam_edelman
204654945,newbalance
207250603,vincecamuto
209372398,target
212255118,chacofootwear
218289770,wayofwade
222686096,michael_atmore
227007815,brooksrunning
231764137,shoecarnival
233955040,portuguesesoul
234181689,caleresinc
235100828,crevofootwear
242236354,asics
242570273,birkenstock
244689943,clarksshoes
246329598,adidasgolf
248637743,ffanyshoeshow
253260610,wolverineworldwide
256767875,jcpenney
260412402,earthshoesusa
262397474,blackstoneshoesusa
265402355,dansko
266628541,skechers
275540441,dmuskat
281507257,hdfootwear
286654768,nikerunning
288783399,kurufootwear
290286088,outdoorindustry
295089431,striderite
296981513,underarmourwomen
300834708,theshoehive
302976217,hibbettsports
306787899,nikebasketball
311577045,portoflongbeach
316996229,sebago_world
321287055,rockport
361293300,two_ten
371174396,sofftshoes
416169004,drschollsshoes
424406704,brandblack
424692635,okabashishoes
429802980,jenandkimshoes
436954152,pensolelewis
478120523,marc.fisher
494750548,bfa_footwear
500081806,vionicshoes
501265130,hushpuppiesshoes
566513118,shoesdotcom
597316118,rickowensonline
613443093,geox
634682781,aerosoles
648766121,siemens
649375901,hoka
714023731,sjpcollection
805057165,ukiesshoes
1000542340,kickposters
1066884433,mizmoozcanada
1127992395,eneslow_shoes
1178612273,nealmnewman
1393894615,oiaglobal
1406434738,supra__footwear__
1407427161,footwearplus
1426894174,sourcingjournal
1444995797,dearfoams
1582156561,clarksoriginals
1605697615,arsutoriaschool
1660158187,batesfootwear
1998038977,deerstags
2019138708,chicagoshoemarket
2025249432,npd_group
2039750065,perrycoshoes
2178669098,tiptopshoesnyc
2192331036,sneakers.coverbook
2202478891,usrashoes
2226863716,atlanta_shoe_market
2265968969,allbirds
2290933058,chiappettashoes
3028365890,yanko_shoes
3037293946,gbfootwearinc
3061047031,front.tv.boca
3253835470,marknasonlosangeles
3416262562,sourcifyinc
3590522361,fromtheshoelife
3901755864,fitftwrandaccdesign
3977393519,antaamerica
4046318010,hypebeastkicks
4675202209,superkickznl
4930267380,janeandtheshoeofficial
5591590982,smartfinds.shoes
5983141880,ikiae_shoes2
6107908492,bbc.international
6153866980,fusedfootwear
6208061717,pensoleacademy
6210824948,thecollective.west
6214681036,ami.evn
6269677008,sneakertraficante
6626364023,salesfactory_866
7748859193,uiticporto2018
29343160261,material_exchange
29605109078,deckersbrands
54504144100,yktv_pdx
56296608459,blackfootwearforum
