userid,username
1085729,leffot
1392487,bergdorfs
2706739,armandomadrid
2896375,noahwilliamsstyle
4725626,jhenryplummer
4892835,ghbass
5218673,toms
8601451,chayannemunoz
8907858,farfetch
9691962,rockmitchell
10537060,thefryecompany
10765105,danielre
10855131,clarenceclotteylondon
11480298,stevemadden
11553184,robertgrahamnyc
11849571,brandon.rutley
12849106,ari_1981
13730100,theiconicau
15146360,fabriziodipaoloph
15803336,oakstreetbootmakers
16172455,spiermackay
16228928,acuratedman
16230241,treybryantstyle
17021219,suitreview
18904651,odellexec
19114459,zegnaofficial
19307659,stuylin
19382981,rbeyer90
19722587,blakescott
20416424,andrel42
21828990,superglamourous
22068610,helmboots
22571278,suitspirit
22577345,tailorandco
22799980,bergandberg
22931290,riverisland
24321854,misterbroussard
24384736,ladariuscampbell
24715974,normanvilalta
25059302,highfashionmen
26000876,carlochiocchio
26007936,nicosuavea
28576917,brooksbrothers
29053046,krazy_legz
29650223,trendcustomtailors
32407442,taylormadegq
34032419,personacustomclothiers
36155018,lotidiane
41270249,brooksbingham
41474177,the2ndfrantela
42707870,johnstonmurphy
43363266,worldwidewes.x
44265264,barkerblack
46080728,esteemedimage
46344272,farrarijones
46577875,tweed_stockholm
47863637,countryattire
48391817,suitsupply
49723861,the_debonair_lifestyle
49946560,gotstylemen
52461799,alexjarry
52926674,efe.efeturi
54599502,styleswithace
55588709,bettsshoes
173811414,_djuice
173919198,imspeke
175604951,eddieyim
176045791,mrbrentwilson
176063585,stylesbydave
180896895,theshoesnob_official
180929361,julesb
181285038,aleksjj
182002682,indochino
182549672,new_edition_fashion
183625911,fourinhand
184512240,mr_j.ricks
186504645,andreasweinas
187619120,louisvuitton
187691607,whateversuitsyou
188526072,_olareid
188618993,kamran_bespoke
190184679,ekseption
190611159,aldo_shoes
192574031,skoaktiebolaget
192879165,txture
194432237,wedding_belles_at_lauras
194840431,articlesofstyle
195049761,garrisonbespoke
195990460,ledburyshirts
196182711,dapperlydone
196352831,styleforum
197459804,officialjosephs
199137178,tlrcouture
199154960,simonberg1977
199235633,mrgilly87
205336703,sebastiancruzcouture
205563879,manolocostanewyork
206333172,felicevitalesartoria
206588913,ybtailoring
208101486,menwithclass
208724255,fashiontailors_
208837277,shoethebear
209444047,kurtgeiger
210749854,joshuarozario
211716856,dune_london
211839505,thombrowne
212196670,thicktallman
212943785,stevenhitchcockbespoke
214304663,ydaustralia
217996282,florsheimshoes
219962201,thesuitier
220005093,cavalierofcamberwell
221130576,institchu
221744996,wesley1919
222158176,tomjamesclothing
222748618,nafstyle
223990293,michele_abaco
224782792,wilvalor
227484148,caligraphist
230056917,iamchrisfelt
230282547,michaelcthomasofficial
230794396,nawrasalqaisii
231623158,massimodutti
232892113,kirbyallison
233003986,bloomingdalesme
233892079,francouomo
239766286,champagnezw3
242424692,s_gents
243513478,queyoun
249499581,saintcrispins
251904079,absolutebespoke
252284970,jacklondon_official
254497333,markpowellbespoke
254747878,decarlosbespoke
256635943,marcnolanshoes
256787829,paulstuartny
259284852,kwadwoamoateng
259614508,yomicasual
260751362,helmersaldanha
260803827,oliverspencer
261609870,therealchrisrey
262478130,hudson_london
265072660,gabrielakinosho
265867800,alexandrawoodbespoke
268896860,melikkam
269745551,shoeshineuk
274095838,koshieo
274118656,mascolori
275564152,pellelineshoes
282150548,karakosuits
282158978,josabank
285062371,mezlanshoes
285849546,jhilburnco
286513184,imparali
287739192,thoro650
288841853,briggins.clothiers
289816878,thecloakroom
290528302,sr.king_dapper
291334868,terrycorbett.co
293704640,gazianogirling
297287917,calibreaustralia
299511297,beckettrobb
305547506,leatherhealer
307263813,bally
309586581,thefashionablemen
312425024,bespokeunit
315614764,osebo_thezaraman
315811504,dapper.one
316067711,masonandsmith
318804953,afinepairofshoes
319242011,_jcscott
319408088,paulevansny
321775986,stephenakiti
326113240,violamilano
326876554,that.spiffy.dynx
326971913,rye51
327619137,phaj_overalls
328895401,agrownman_official
329116641,houseofreza
329643060,gold_reggie
330211206,stanlion_clothing
330781449,oxfordshop
333603897,justmenshoes
335011514,aquila_est1958
336028215,zeveshoes
340721868,mogul_d_llc
341138979,knotstandard
344111823,bahman_tailors
344939639,checkroom
345204532,veganstyleoz
346513011,mariomorenomoyano
348380683,feetaffairs
349890353,owen_mens_wear
